Type,Md1,Md2,Md3,Md4,Mc1,Mc2,Mc3,Md5,Md6,Mc4,Mc5
A100-3-417,1,1,1,1,1,1,0,1,1,0,1
A100-3-418,1,1,1,1,1,1,0,1,1,1,1
A100-3-419,1,1,0,1,1,1,0,1,1,0,1
A100-3-42,1,1,1,1,1,1,1,1,1,0,1
A100-3-420,1,1,0,1,1,1,1,1,1,1,1
A100-3-421,1,1,1,1,1,1,1,1,1,1,1
A100-3-422,1,1,0,1,1,1,1,1,1,0,1
A100-3-423,1,1,1,1,1,1,1,1,1,0,1
A100-3-424,1,1,0,1,1,1,1,1,1,1,1
A100-3-425,1,1,1,1,1,1,1,1,1,0,0
A100-3-426,1,1,1,1,1,1,0,1,1,0,0
A100-3-427,1,1,0,1,1,1,1,1,1,0,1
A100-3-428,1,1,1,1,1,1,0,1,1,0,0
A100-3-429,1,1,1,1,1,1,1,1,1,1,1
A100-3-43,1,1,0,1,1,1,0,1,1,0,1
A100-3-430,1,1,1,1,1,1,0,1,1,0,1
A100-3-431,1,1,0,1,1,1,1,1,1,0,0
A100-3-432,1,1,0,1,1,1,0,1,1,1,0
A100-3-433,1,1,0,1,1,1,1,1,1,1,0
A100-3-434,1,1,1,1,1,1,0,1,1,0,0
A100-3-435,1,1,1,1,1,1,0,1,1,1,1
A100-3-436,1,1,0,1,1,1,0,1,1,0,0
A100-3-437,1,1,1,1,1,1,1,1,1,1,0
A100-3-438,1,1,0,1,1,1,1,1,1,0,1
A100-3-439,1,1,0,1,1,1,1,1,1,1,1
A100-3-44,1,1,0,1,1,1,0,1,1,0,1
A100-3-440,1,1,0,1,1,1,1,1,1,0,1
A100-3-441,1,1,1,1,1,1,0,1,1,0,1
A100-3-442,1,1,1,1,1,1,1,1,1,0,0
A100-3-443,1,1,1,1,1,1,0,1,1,0,0
A100-3-444,1,1,1,1,1,1,0,1,1,1,0
A100-3-445,1,1,1,1,1,1,0,1,1,1,0
A100-3-446,1,1,0,1,1,1,0,1,1,1,0
A100-3-447,1,1,0,1,1,1,0,1,1,0,1
A100-3-448,1,1,0,1,1,1,0,1,1,1,0
A100-3-449,1,1,0,1,1,1,1,1,1,1,1
A100-3-45,1,1,0,1,1,1,0,1,1,1,0
A100-3-450,1,1,1,1,1,1,0,1,1,1,0
A100-3-451,1,1,1,1,1,1,0,1,1,1,1
A100-3-452,1,1,1,1,1,1,0,1,1,0,0
A100-3-453,1,1,0,1,1,1,1,1,1,1,1
A100-3-454,1,1,1,1,1,1,1,1,1,0,1
A100-3-455,1,1,0,1,1,1,0,1,1,1,1
A100-3-456,1,1,0,1,1,1,0,1,1,0,1
A100-3-457,1,1,1,1,1,1,0,1,1,0,1
A100-3-458,1,1,1,1,1,1,1,1,1,1,0
A100-3-459,1,1,0,1,1,1,0,1,1,1,0
A100-3-46,1,1,0,1,1,1,0,1,1,1,1
A100-3-460,1,1,1,1,1,1,0,1,1,1,0
A100-3-461,1,1,1,1,1,1,0,1,1,1,1
A100-3-462,1,1,1,1,1,1,1,1,1,1,0
A100-3-463,1,1,1,1,1,1,1,1,1,0,0
A100-3-464,1,1,0,1,1,1,1,1,1,1,1
A100-3-465,1,1,0,1,1,1,1,1,1,1,1
A100-3-466,1,1,1,1,1,1,1,1,1,0,1
A100-3-467,1,1,1,1,1,1,0,1,1,1,1
A100-3-468,1,1,1,1,1,1,1,1,1,1,0
A100-3-469,1,1,0,1,1,1,0,1,1,1,0
A100-3-47,1,1,0,1,1,1,1,1,1,0,1
A100-3-470,1,1,0,1,1,1,1,1,1,1,1
A100-3-471,1,1,1,1,1,1,0,1,1,0,1
A100-3-472,1,1,1,1,1,1,1,1,1,0,0
A100-3-473,1,1,0,1,1,1,0,1,1,0,1
A100-3-474,1,1,1,1,1,1,0,1,1,0,1
